developer,release_year,items_count,items_count_free,free_percent,look_developer
Aaron Arcand,2015.0,1,0.0,0.0,aaronarcand
Aaron Oldenburg,2015.0,1,0.0,0.0,aaronoldenburg
Aartform,2013.0,1,0.0,0.0,aartform
Aartform Games,2014.0,1,0.0,0.0,aartformgames
Aatlantis Code,2016.0,1,0.0,0.0,aatlantiscode
Aatlantis Code,2017.0,1,0.0,0.0,aatlantiscode
Abbey Games,2013.0,1,0.0,0.0,abbeygames
Abbey Games,2015.0,1,0.0,0.0,abbeygames
Abbey Games,2016.0,1,0.0,0.0,abbeygames
Abbey Games,2017.0,1,0.0,0.0,abbeygames
Abdulla Hassan Al-Farsi,2016.0,1,0.0,0.0,abdullahassanal-farsi
Abigail Corfman,2017.0,1,0.0,0.0,abigailcorfman
Abnormal Software,2015.0,1,0.0,0.0,abnormalsoftware
Above and Beyond Technologies,2017.0,1,0.0,0.0,aboveandbeyondtechnologies
Abraham Carreola,2015.0,1,0.0,0.0,abrahamcarreola
Abrakam SA,2017.0,2,1.0,50.0,abrakamsa
Abrupt Games,2015.0,1,0.0,0.0,abruptgames
AbsQual Studio,2016.0,1,0.0,0.0,absqualstudio
Absent Moon Studios,2017.0,1,0.0,0.0,absentmoonstudios
Absolut Soft LLC,2016.0,1,0.0,0.0,absolutsoftllc
Absolutist Ltd,2017.0,1,1.0,100.0,absolutistltd
Absolutist Ltd.,2009.0,1,0.0,0.0,absolutistltd.
Absolutist Ltd.,2015.0,2,0.0,0.0,absolutistltd.
Absolutist Ltd.,2016.0,3,1.0,33.33,absolutistltd.
Absorb Reality,2015.0,1,0.0,0.0,absorbreality
Absorb Reality,2017.0,2,0.0,0.0,absorbreality
Absorbed Studios,2017.0,1,1.0,100.0,absorbedstudios
Absortalent Games,2017.0,1,0.0,0.0,absortalentgames
Abstract Tree Studio,2016.0,1,0.0,0.0,abstracttreestudio
Abstraction Games,2014.0,1,0.0,0.0,abstractiongames
"Abstraction Games,The Bitmap Brothers",2013.0,1,0.0,0.0,"abstractiongames,thebitmapbrothers"
"Abstraction Games,WayForward",2016.0,1,0.0,0.0,"abstractiongames,wayforward"
Abstractive Works,2016.0,1,0.0,0.0,abstractiveworks
Abyss Studios,2015.0,1,0.0,0.0,abyssstudios
"Accela,Inc.",2017.0,1,0.0,0.0,"accela,inc."
"Acceleroto, Inc.",2015.0,1,0.0,0.0,"acceleroto,inc."
Access Games,2015.0,16,0.0,0.0,accessgames
Access Software,1989.0,1,0.0,0.0,accesssoftware
Access Software,1991.0,1,0.0,0.0,accesssoftware
Access Software,1994.0,1,0.0,0.0,accesssoftware
Access Software,1996.0,1,0.0,0.0,accesssoftware
Access Software,1998.0,1,0.0,0.0,accesssoftware
Accidental Queens,2017.0,4,0.0,0.0,accidentalqueens
Acclaim Cheltenham,1998.0,1,0.0,0.0,acclaimcheltenham
Acclaim Studios Teeside,1999.0,1,0.0,0.0,acclaimstudiosteeside
Accolade,1993.0,1,0.0,0.0,accolade
"Accolade, Inc",1996.0,1,0.0,0.0,"accolade,inc"
"Accolade, Inc.",1996.0,1,0.0,0.0,"accolade,inc."
"Accolade, Inc.",1999.0,2,0.0,0.0,"accolade,inc."
Acerio Games,2016.0,1,0.0,0.0,aceriogames
Achebit,2015.0,1,0.0,0.0,achebit
Achisoft,2017.0,1,0.0,0.0,achisoft
Achpile,2016.0,1,0.0,0.0,achpile
Achpile,2017.0,1,0.0,0.0,achpile
Acid Cat,2016.0,1,0.0,0.0,acidcat
Acid Nerve,2015.0,1,0.0,0.0,acidnerve
Ackk Studios,2013.0,1,0.0,0.0,ackkstudios
Ackmi,2016.0,1,0.0,0.0,ackmi
"Acme Nerd Games, LLC",2017.0,1,0.0,0.0,"acmenerdgames,llc"
AcneVulgaris,2016.0,1,0.0,0.0,acnevulgaris
"Acoustica, Inc.",2017.0,1,0.0,0.0,"acoustica,inc."
Acquire,2012.0,7,0.0,0.0,acquire
Acquire,2016.0,1,0.0,0.0,acquire
Acquire Corp.,2015.0,8,0.0,0.0,acquirecorp.
"Acquire,Zerodiv",2016.0,1,0.0,0.0,"acquire,zerodiv"
"Acram Digital,Mobo Studio",2017.0,13,2.0,15.38,"acramdigital,mobostudio"
"Act 3 Games, LLC",2017.0,2,1.0,50.0,"act3games,llc"
ActaLogic,2017.0,1,0.0,0.0,actalogic
Actalogic,2012.0,1,0.0,0.0,actalogic
Actalogic,2013.0,2,0.0,0.0,actalogic
Actalogic,2014.0,1,0.0,0.0,actalogic
"Action Button Entertainment, LLC",2016.0,1,0.0,0.0,"actionbuttonentertainment,llc"
Activision,1993.0,1,0.0,0.0,activision
Activision,1996.0,1,0.0,0.0,activision
Activision,1997.0,1,0.0,0.0,activision
Activision,2000.0,1,0.0,0.0,activision
Actoz Soft,2017.0,1,1.0,100.0,actozsoft
Actual Tools,2016.0,1,0.0,0.0,actualtools
Acute Games,2017.0,1,1.0,100.0,acutegames
Acuze Interactives,2017.0,3,0.0,0.0,acuzeinteractives
"Acuze Interactives,Winterbyte",2017.0,1,0.0,0.0,"acuzeinteractives,winterbyte"
Ad Aspera,2017.0,1,0.0,0.0,adaspera
Adage Games,2017.0,1,0.0,0.0,adagegames
Adam DeLease,2015.0,1,0.0,0.0,adamdelease
Adam DeLease,2016.0,1,0.0,0.0,adamdelease
Adam DeLease,2017.0,2,0.0,0.0,adamdelease
Adam Foster,2013.0,1,1.0,100.0,adamfoster
Adam Hebert,2017.0,1,0.0,0.0,adamhebert
Adam John Adkins,2017.0,1,0.0,0.0,adamjohnadkins
